# 1 -- Star Name
# 2 -- X position (arcsec, increasing to the East)
# 3 -- Y position (arcsec, increasing to the North)
# 4 -- X velocity (mas/yr)
# 5 -- Y velocity (mas/yr)
# 6 -- t0 (year)
# 7 -- Variable? flag
# Bandpass Calibration Details:
# Older calibrations not in use anymore are denoted by '_o[#]' suffix to indicate 'old' and 'old version number'
# Default calibrators are listed after each magnitude column header entry.
# Error column indicates uncertainties in the reference magnitude for star (older calibrations did not use this)
# Filt -- Kp: K' band (Abhimat 20190729) -- irs16NW,S3-22,S1-17,S1-34,S4-3,S1-1,S1-21,S3-370,S3-88,S3-36,S2-63
# Filt -- K: K band (Zhuo, Abhimat 20181102) -- irs16NW,S1-17,S1-34,S1-1,S0-14,S1-21
# Filt -- H: H band (Abhimat 20190729) -- irs16NW,S3-22,S1-17,S1-34,S4-3,S1-1,S1-21,S3-370,S3-88,S3-36,S2-63
# Filt -- K_o1: K band (Blum et al. 1996) -- irs16C,irs16NW,irs16NE
# Filt -- Kp_o1: K' band estimated from Keck data -- irs16C,irs16NW,irs16NE
# Filt -- Lp_o1: L' band (Wright et al. in prep) -- irs16C,irs16NW,irs16NE
# Filt -- H_o1: H band (Blum et al. 1996) -- irs16C,irs16NW,irs16NE
# Filt -- Ms_o1: Ms band (Hornstein et al. in prep) -- irs16C,irs16NW
# Filt -- K_o2: K band (Rafelski et al. calibrated from Blum et al. 1996) -- irs16C,irs16NE,irs16SW-E,S2-16,S1-23,S1-3,S1-5,S2-22,S2-5,S1-68,S0-13,S1-25
#Star           x_pos           y_pos           x_vel           y_vel           t0          var?    Kp              Kp_err          K               K_err           H               H_err           K_o1            K_o1_err        Kp_o1           Kp_o1_err       Lp_o1           Lp_o1_err       H_o1            H_o1_err        Ms_o1           Ms_o1_err       K_o2            K_o2_err
S2-25             0.760          -2.421           2.694           3.661         2010.341    0       13.5423          0.0290         13.5423          0.00           16.04            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-34             1.844           1.008           3.184           5.678         2010.669    0       15.26            0.00           15.26            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-43            -1.832          -1.144           2.202           2.750         2008.332    0       15.40            0.00           15.40            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-44             0.521          -2.136          -2.667          -2.710         2007.666    0       15.58            0.00           15.58            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-46             2.161          -0.709           7.751          -0.070         2008.813    0       15.35            0.00           15.35            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-47             2.195          -0.513          -0.083           2.333         2010.429    0       14.02            0.00           14.02            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-60            -1.453           2.057           0.944           3.003         2010.100    0       15.29            0.00           15.29            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-63            -0.651           2.470          -0.464          -0.590         2011.199    0       15.4090          0.0285         0.00             0.00           17.7410          0.2148            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-65             2.365          -1.074           0.724          -2.170         2011.463    0       15.52            0.00           15.52            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-67            -2.472          -0.878           3.355          -6.083         2009.674    0       13.32            0.00           13.32            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-71            -0.873          -2.524           4.500          -0.376         2011.437    0       15.09            0.00           15.09            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-75             2.635          -0.848          -0.350           5.208         2010.425    0       14.22            0.00           14.22            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-82             2.853           0.065          -1.847           3.830         2011.182    0       15.09            0.00           15.09            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-83             2.854          -0.690          -1.117           0.131         2011.668    0       15.43            0.00           15.43            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S2-84             1.660          -2.471           0.510          -1.478         2010.187    0       15.1770          0.1758         11.91            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-2              3.084           0.552           4.334           1.237         2009.631    0       11.91            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-6              3.234          -0.051           1.420          -7.214         2010.411    0       12.5872          0.0289         12.5872          0.00           14.97            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-10             3.340          -1.107          -0.212           5.479         2009.872    0       12.00            0.00           12.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-13             3.840           0.983           2.452           9.267         2010.263    0       13.45            0.00           13.45            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-22            -0.339          -3.209           3.193          -1.111         2010.290    0       11.1139          0.0283          0.00            0.00           13.4765          0.2147          0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-23             2.910          -1.362          -1.454           7.366         2010.298    0       15.21            0.00           15.21            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-24             3.285           0.435           4.509           8.160         2007.846    0       15.35            0.00           15.35            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-33             3.323          -0.823          -1.509           4.144         2010.084    0       15.14            0.00           15.14            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-36             3.473          -0.808           1.463           2.269         2010.798    0       14.6286          0.0286         14.4212          0.00           16.7344          0.2147          0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-37             3.411           1.358           3.525           2.710         2008.488    0       14.94            0.00           14.94            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-88            -0.849          -2.996           1.282           3.596         2010.083    0       14.2461          0.0282         14.12            0.00           16.4177          0.2148          0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-108           -0.892           3.111          -0.477           3.070         2007.651    0       15.43            0.00           15.43            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-134           -1.393          -3.016           1.541           1.820         2007.906    0       13.68            0.00           13.68            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-169           -3.394           0.373           0.308           1.020         2008.009    0       15.39            0.00           15.39            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-348            3.901           0.233           2.500           1.856         2008.220    0       15.10            0.00           15.10            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S3-370           -0.285          -3.914           0.664           4.262         2010.136    0       13.6326          0.0285          0.00            0.00           15.8534          0.2147          0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S4-3              4.221           0.128           3.709           1.873         2010.125    0       12.9838          0.0289         12.79            0.00           15.1999          0.2148          0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
