|         epoch | filt | nights_combo | num_frames |          med_fwhms |         med_strehls | num_stf_legacy_detections | num_stf_singPSF_detections | num_stf_legacy_detections_faint | num_stf_singPSF_detections_faint | num_stf_legacy_detections_bright | num_stf_singPSF_detections_bright | num_legonly_detections | num_singonly_detections | num_legonly_faint_detections | num_singonly_faint_detections | num_legonly_bright_detections | num_singonly_bright_detections |
| 20170809nirc2 |   kp | single_night |         23 |              61.84 |                0.33 |                     950.0 |                     1204.0 |                           162.0 |                            368.0 |                            788.0 |                             836.0 |                   65.0 |                   319.0 |                         26.0 |                         239.0 |                          39.0 |                           80.0 |
| 20170810nirc2 |   kp | single_night |         30 | 58.879999999999995 |                0.34 |                     937.0 |                     1102.0 |                           171.0 |                            272.0 |                            766.0 |                             830.0 |                  111.0 |                   276.0 |                         63.0 |                         161.0 |                          48.0 |                          115.0 |
| 20170811nirc2 |   kp | single_night |         87 |              52.64 |                0.43 |                    1103.0 |                     1430.0 |                           303.0 |                            562.0 |                            800.0 |                             868.0 |                  137.0 |                   464.0 |                         93.0 |                         350.0 |                          44.0 |                          114.0 |
| 20170823nirc2 |   kp | single_night |         61 |              64.15 |                0.32 |                     996.0 |                     1342.0 |                           223.0 |                            497.0 |                            773.0 |                             845.0 |                   89.0 |                   435.0 |                         48.0 |                         312.0 |                          41.0 |                          123.0 |
| 20170824nirc2 |   kp | single_night |         42 |              60.68 |                0.37 |                     851.0 |                      965.0 |                           106.0 |                            143.0 |                            745.0 |                             822.0 |                   67.0 |                   181.0 |                         32.0 |                          65.0 |                          35.0 |                          116.0 |
| 20170826nirc2 |   kp | single_night |         33 |              58.93 |                0.35 |                     996.0 |                     1182.0 |                           242.0 |                            382.0 |                            754.0 |                             800.0 |                  127.0 |                   313.0 |                         81.0 |                         216.0 |                          46.0 |                           97.0 |
| 20180317nirc2 |   kp | single_night |         33 |              55.83 |                0.48 |                    1205.0 |                     1302.0 |                           389.0 |                            447.0 |                            816.0 |                             855.0 |                  181.0 |                   278.0 |                        133.0 |                         195.0 |                          48.0 |                           83.0 |
| 20180322nirc2 |   kp | single_night |         47 |              74.45 |                0.26 |                    1001.0 |                     1153.0 |                           223.0 |                            375.0 |                            778.0 |                             778.0 |                  106.0 |                   258.0 |                         49.0 |                         193.0 |                          57.0 |                           65.0 |
| 20180330nirc2 |   kp | single_night |         26 |              61.03 |                0.37 |                     891.0 |                     1038.0 |                           159.0 |                            259.0 |                            732.0 |                             779.0 |                  107.0 |                   254.0 |                         53.0 |                         141.0 |                          54.0 |                          113.0 |
| 20180519nirc2 |   kp | single_night |         11 |              78.42 |                0.25 |                     773.0 |                      779.0 |                            99.0 |                            132.0 |                            674.0 |                             647.0 |                   76.0 |                    82.0 |                         19.0 |                          44.0 |                          57.0 |                           38.0 |
| 20180524nirc2 |   kp | single_night |         43 |              77.99 |                0.23 |                     918.0 |                      892.0 |                           193.0 |                            194.0 |                            725.0 |                             698.0 |                  134.0 |                   108.0 |                         68.0 |                          62.0 |                          66.0 |                           46.0 |
| 20190419nirc2 |   kp | single_night |         66 |  77.03999999999999 |                0.22 |                     877.0 |                      952.0 |                           172.0 |                            260.0 |                            705.0 |                             692.0 |                  102.0 |                   177.0 |                         43.0 |                         121.0 |                          59.0 |                           56.0 |
